uuid,name,line,geometry,walkway_entrance_uuid,vehicle_entrance_uuid
subwaystation_2,방배역,[2],POINT (126.99765161 37.48147016),pedestrian_5747375654,localroad_5747375654
subwaystation_5,구반포역,[9],POINT (126.98691655 37.50130981),pedestrian_11641428782,localroad_11641428782
subwaystation_6,신반포역,[9],POINT (126.9960228 37.50344515),pedestrian_11641428773,localroad_11641428831
subwaystation_7,고속터미널역,"[3,7,9]",POINT (127.00561958 37.50383429),pedestrian_9798531696,localroad_1132502938
subwaystation_8,반포역,[7],POINT (127.01175749 37.50818459),pedestrian_11738027497,localroad_5424010729
subwaystation_9,잠원역,[3],POINT (127.01168202 37.5128938),pedestrian_10909406259,localroad_10909406259
subwaystation_10,교대역,"[2,3]",POINT (127.01369445 37.49367596),pedestrian_3355067052,localroad_3355067052
subwaystation_11,남부터미널역,[3],POINT (127.01624772 37.48493349),pedestrian_436864976,localroad_436864976
subwaystation_12,서초역,[2],POINT (127.00779552 37.49183973),pedestrian_7888119765,localroad_3221788784
subwaystation_13,사평역,[9],POINT (127.0149648 37.50441302),pedestrian_4899542143,localroad_4899542143
subwaystation_14,양재시민의숲역,[0],POINT (127.03851023 37.47000108),pedestrian_6641198800,localroad_845976121
subwaystation_15,청계산입구역,[0],POINT (127.05481092 37.44795633),pedestrian_11744211938,localroad_3547291980
subwaystation_16,양재역,"[0,3]",POINT (127.03395711 37.48439454),pedestrian_11431861613,localroad_4865831860
subwaystation_17,남태령역,[4],POINT (126.98913022 37.464191),pedestrian_3079163784,localroad_5406500115
